Time,LLC,Speed,Ranking,Mileage,Address
2016-07-01 14:47:42,"-26.276876,28.034956",42.596,11,27399.8262,
2016-07-01 14:47:53,"-26.277616,28.034838",35.188,11,27482.9473,
2016-07-01 14:48:04,"-26.279038,28.034326",81.488,11,27649.1025,
2016-07-01 14:48:15,"-26.281258,28.033330",96.304,11,27915.1801,
2016-07-01 14:48:26,"-26.283452,28.033176",74.08,11,28159.6243,
2016-07-01 14:48:37,"-26.285248,28.033936",75.932,11,28373.2213,
2016-07-01 14:48:48,"-26.286656,28.035456",87.044,11,28591.1109,
2016-07-01 14:48:51,"-26.287754,28.037702",90.748,11,28846.1502,
2016-07-01 14:49:02,"-26.289014,28.039744",83.34,11,29093.2797,
2016-07-01 14:49:13,"-26.290438,28.041142",50.004,11,29304.2215,
2016-07-01 14:49:24,"-26.290900,28.041476",0,11,29365.4408,
2016-07-01 14:49:31,"-26.290904,28.041478",0,11,29365.9249,
2016-07-01 14:49:42,"-26.291482,28.041834",50.004,11,29439.3434,
2016-07-01 14:49:53,"-26.293076,28.042730",85.192,11,29637.8234,
2016-07-01 14:50:04,"-26.295006,28.044162",94.452,11,29895.5733,
2016-07-01 14:50:11,"-26.296796,28.045866",87.044,11,30157.2445,
2016-07-01 14:50:21,"-26.298382,28.047372",85.192,11,30388.8468,
2016-07-01 14:50:32,"-26.299946,28.048868",83.34,11,30617.9403,
2016-07-01 14:50:41,"-26.301528,28.050378",79.636,11,30849.4605,
2016-07-01 14:50:51,"-26.302668,28.051464",22.224,11,31016.1576,
2016-07-01 14:51:02,"-26.302994,28.051778",16.668,11,31064.0504,
2016-07-01 14:51:11,"-26.303118,28.051904",0,11,31082.7015,
2016-07-01 14:51:21,"-26.303550,28.052324",38.892,11,31146.4217,
2016-07-01 14:51:32,"-26.304490,28.053218",57.412,11,31283.7774,
2016-07-01 14:51:43,"-26.305830,28.054496",81.488,11,31479.8129,
2016-07-01 14:51:54,"-26.307474,28.056056",83.34,11,31719.8076,
2016-07-01 14:52:05,"-26.309188,28.057584",90.748,11,31963.7775,
2016-07-01 14:52:11,"-26.311264,28.059230",98.156,11,32246.9827,
2016-07-01 14:52:21,"-26.313154,28.060586",79.636,11,32496.8512,
2016-07-01 14:52:34,"-26.314822,28.061760",44.448,11,32716.1522,
2016-07-01 14:52:45,"-26.315224,28.062048",0,11,32769.2758,
2016-07-01 14:52:56,"-26.315436,28.062198",31.484,11,32797.1903,
2016-07-01 14:53:07,"-26.316606,28.063016",75.932,11,32950.7245,
2016-07-01 14:53:13,"-26.318478,28.064314",96.304,11,33195.8084,
2016-07-01 14:53:23,"-26.320666,28.065866",112.972,11,33484.1128,
2016-07-01 14:53:34,"-26.323264,28.067632",125.936,11,33822.3931,
2016-07-01 14:53:43,"-26.325870,28.069790",127.788,11,34183.2611,
2016-07-01 14:53:54,"-26.328122,28.072162",125.936,11,34527.6288,
2016-07-01 14:54:05,"-26.330412,28.074930",137.048,11,34903.0446,
2016-07-01 14:54:13,"-26.332670,28.077626",124.084,11,35270.7774,
2016-07-01 14:54:23,"-26.334654,28.079758",98.156,11,35577.063,
